sentence,label
"When they did, the firm reduced those stock holdings to about 70%.","When they did reduce those stock holdings, the firm reduced those stock holdings to about 70%."
"Many are quick to emphasize that just because the market can fall as fast as it did Friday doesn't mean it will tank again, despite some disquieting similarities between now and October 1987.","Many are quick to emphasize that just because the market can fall as fast as it did Friday doesn't mean it will tank again, despite some disquieting similarities between now and October 1987."
They say insurance companies use policies aimed at excluding bad risks because their competitors do.,They say insurance companies use policies aimed at excluding bad risks because their competitors do use policies aimed at excluding bad risks.
"John always tried to finish reading a book in the evening, and Mary a newspaper.","John always tried to finish reading a book in the evening, and Mary tried to finish reading a newspaper."
"Some analysts have said Courtaulds' moves could boost the company's value by 5% to 10%, because the two entities separately will carry a higher price earnings multiple than they did combined.","Some analysts have said Courtaulds' moves could boost the company's value by 5% to 10%, because the two entities separately will carry a higher price earnings multiple than they did when combined."
Fred's.,Fred's.
"All of which has enabled those of us in Washington who enjoy wallowing in such things to go into high public dudgeon, as Mr. Apple and I did the other night on ABC's ""Nightline.""","All of which has enabled those of us in Washington who enjoy wallowing in such things to go into high public dudgeon, as Mr. Apple and I did go into high public dudgeon the other night on ABC's ""Nightline."""
What this all means in shorthand is that Soviet dominance in Ethiopia is collapsing as fast as President Barre's regime in Somalia is.,What this all means in shorthand is that Soviet dominance in Ethiopia is collapsing as fast as President Barre's regime in Somalia is collapsing.
"While the promises of big profits ought to set off warning bells, they often don't, in part because get-rich-quick tales have become embedded in American folklore.","While the promises of big profits ought to set off warning bells, they often don't, in part because get-rich-quick tales have become embedded in American folklore."
"American Brands ""just had a different approach,"" Mr. Wathen says. ""Their approach didn't work; mine is.""","American Brands ""just had a different approach,"" Mr. Wathen says. ""Their approach didn't work; mine is working."""
"On average in the latest nine months, company-operated units in the U.S. had $90,552 more in sales than did franchised outlets.","On average in the latest nine months, company-operated units in the U.S. had $90,552 more in sales than franchised outlets did have in sales."
"I'm one of them who hope they will, with $6 billion in debt on the books.","I'm one of them who hope they will, with $6 billion in debt on the books."
Sam.,Sam.
"He is singing, and she is, too.","He is singing, and she is singing, too."
"And any strong surge in redemptions could force some funds to dump stocks to raise cash, as some did during Black Monday.","And any strong surge in redemptions could force some funds to dump stocks to raise cash, as some did dump stocks to raise cash during Black Monday."
"And the reason we don't want to is that effective education would require us to relinquish some cherished metaphysical beliefs about human nature in general and the human nature of young people in particular, as well as to violate some cherished vested interests.","And the reason we don't want to is that effective education would require us to relinquish some cherished metaphysical beliefs about human nature in general and the human nature of young people in particular, as well as to violate some cherished vested interests."
"He can swim, and she can, too.","He can swim, and she can swim, too."
"Susan works at night, and Bill too.","Susan works at night, and Bill does too."
